cellBC	JAK1wtTXcnt	JAK1mutTXcnt
bcAOPF	1	0
bcAOPG	45	1
bcAOQV	2	0
bcAORM	0	0
bcAOUF	2	0
bcAOUH	2	2
bcAOUQ	3	0
bcAOUR	68	2
bcAOVQ	33	1
bcAOWD	0	2
bcAOXC	0	0
bcAOXT	1	1
bcAOXW	3	2
bcAOYR	35	0
bcAPAG	1	0
bcAPDP	0	9
bcAPDU	0	1
bcAPEZ	0	0
bcAPFX	3	2
bcAPHN	0	1
bcAPIX	0	1
bcAPJA	1	0
bcAPJF	1	0
bcAPJQ	0	0
bcAPKU	1	0
bcAPKX	0	1
bcAPMM	0	78
bcAPMN	2	0
bcAPMV	2	4
bcAPNK	6	0
bcAPNQ	29	0
bcAPON	1	0
bcAPPA	1	1
bcAPPI	0	0
bcAPQA	0	1
bcAPSR	1	1
bcAPUS	0	1
bcAPWO	1	0
bcAPYD	1	0
bcAPZA	0	0
bcAQAS	3	1
bcAQCH	0	1
bcAQER	0	0
bcAQEV	12	0
bcAQFW	12	0
bcAQHE	0	0
bcAQIM	55	0
bcAQIV	0	0
bcAQKN	83	0
bcAQMO	1	0
bcAQMP	1	3
bcAQMU	0	0
bcAQMY	2	0
bcAQNY	1	0
bcAQSD	0	0
bcAQWP	51	0
bcAQWR	0	0
bcAQXT	16	11
bcARAE	1	0
bcARAP	0	0
bcARBF	1	51
bcARBS	2	0
bcARCM	51	0
bcARFQ	0	0
bcARGL	1	1
bcARGY	0	0
bcARHJ	0	0
bcARKA	1	1
bcARNN	0	1
bcARQZ	2	0
bcARTD	1	0
bcARTU	1	1
bcARUM	1	0
bcARWC	0	0
bcARXB	29	0
bcARZL	0	53
bcASAI	0	0
bcASEO	26	0
bcASGD	8	0
bcASIJ	0	1
bcASLU	0	0
bcASQL	1	0
bcASUM	1	2
bcASWR	13	0
bcASXT	0	2
bcASZQ	1	1
bcASZZ	2	0
bcATAY	0	0
bcATBM	1	0
bcATBV	0	0
bcATCY	2	0
bcATDI	42	0
bcATEA	0	1
bcATGY	1	0
bcATHT	2	17
bcATIH	0	0
bcATKC	0	0
bcATLM	0	0
bcATML	0	0
bcATNW	2	0
bcATOB	0	0
bcATPY	0	0
bcATQV	63	11
bcATUP	1	10
bcATVS	1	0
bcATWS	0	0
bcATXM	51	17
bcATXO	1	0
bcAUBT	0	0
bcAUDB	37	0
bcAUJK	0	41
bcAUJT	0	26
bcAUJY	0	0
bcAUNM	0	1
bcAUOQ	2	0
bcAURD	2	0
bcAURV	2	1
bcAUSA	51	1
bcAUTZ	4	22
bcAUUL	47	0
bcAUWM	1	1
bcAUZZ	0	4
bcAVAL	0	0
bcAVAR	0	0
bcAVBC	0	0
bcAVCS	0	0
bcAVEO	0	0
bcAVFE	0	0
bcAVIU	0	0
bcAVJB	0	77
bcAVPS	1	0
bcAVQT	0	0
bcAVRH	0	0
bcAVVH	0	0
bcAVYI	1	0
bcAWCE	0	1
bcAWEM	2	0
bcAWFW	1	1
bcAWGI	0	0
bcAWIW	2	0
bcAWJL	100	0
bcAWKG	1	0
bcAWLQ	0	0
bcAWMK	2	1
bcAWPN	0	30
bcAWPQ	0	0
bcAWQY	0	0
bcAWTK	2	0
bcAWTV	0	0
bcAWUV	0	0
bcAWUX	0	1
bcAWWG	0	0
bcAWXM	0	0
bcAWYO	2	0
bcAWYS	0	0
bcAWZA	0	0
bcAXCI	1	0
bcAXID	2	1
bcAXIT	3	18
bcAXJX	0	1
bcAXJY	22	68
bcAXKG	4	17
bcAXLI	0	0
bcAXLJ	0	1
bcAXLT	0	0
bcAXNU	0	1
bcAXTR	0	0
bcAXWU	1	0
bcAXYF	2	0
bcAXYL	0	0
bcAYAV	1	0
bcAYCP	0	0
bcAYCV	0	0
bcAYDO	0	13
bcAYES	1	1
bcAYHB	0	1
bcAYHH	1	3
bcAYLJ	0	0
bcAYLR	1	0
bcAYMH	1	0
bcAYQY	0	0
bcAYRI	0	0
bcAYSW	0	0
bcAYTB	0	0
bcAYUJ	2	1
bcAYUT	0	0
bcAZAE	0	0
bcAZAG	1	1
bcAZAX	1	0
bcAZBX	0	0
bcAZBZ	0	0
bcAZCC	0	0
bcAZCM	1	0
bcAZDX	4	1
bcAZFS	0	0
bcAZGB	1	1
bcAZGM	0	57
bcAZHO	0	0
bcAZIC	1	0
bcAZNL	1	0
bcAZOS	1	0
bcAZPL	1	0
bcAZQA	1	0
bcAZQX	0	0
bcAZSG	0	0
bcAZTX	0	0
bcAZVS	4	1
bcAZVU	0	0
bcAZWG	0	0
bcAZYO	0	0
bcBAFD	0	0
bcBAFO	0	0
bcBAGP	1	26
bcBAHU	0	1
bcBAIC	29	0
bcBAJT	2	1
bcBAJZ	0	0
bcBAKY	0	0
bcBAMU	0	0
bcBANT	0	17
bcBATC	1	1
bcBATU	1	0
bcBAVG	0	32
bcBAVY	0	0
bcBAWG	0	0
bcBAWY	1	2
bcBAYK	0	1
bcBBAT	0	3
bcBBBV	0	1
bcBBCI	0	0
bcBBDT	9	0
bcBBEC	2	1
bcBBHK	1	0
bcBBHR	2	0
bcBBJC	0	0
bcBBNB	1	0
bcBBND	1	0
bcBBNE	1	0
bcBBNI	33	1
bcBBNT	0	38
bcBBQD	0	0
bcBBRN	2	0
bcBBUW	0	0
bcBBWI	0	0
bcBBXO	1	0
bcBBZJ	46	2
bcBCAW	7	1
bcBCED	4	0
bcBCEE	0	0
bcBCFH	4	1
bcBCFI	0	0
bcBCGF	19	0
bcBCHK	0	0
bcBCIZ	1	1
bcBCKP	0	3
bcBCLC	2	0
bcBCLI	0	1
bcBCMV	0	1
bcBCNR	60	1
bcBCNX	0	0
bcBCPE	1	0
bcBCPK	2	1
bcBCPO	2	0
bcBCQS	1	0
bcBCQU	0	0
bcBCST	0	0
bcBCUV	0	0
bcBCUX	119	0
bcBCZA	2	0
bcBCZG	0	0
bcBCZM	1	0
bcBCZN	3	0
bcBCZV	0	1
bcBDAV	0	1
bcBDBR	3	67
bcBDCL	0	0
bcBDED	0	0
bcBDFM	1	0
bcBDHB	0	0
bcBDMU	52	0
bcBDOA	0	0
bcBDOC	2	0
bcBDOP	1	1
bcBDOW	0	1
bcBDPE	3	45
bcBDPW	3	1
bcBDQL	2	2
bcBDQO	2	25
bcBDRB	7	1
bcBDRT	2	48
bcBDSK	0	1
bcBDSQ	1	0
bcBDTE	70	0
bcBDTF	68	0
bcBDTM	30	0
bcBDVM	0	0
bcBDWA	1	0
bcBDWK	2	0
bcBDYR	2	2
bcBEAM	43	2
bcBEDI	0	0
bcBEDJ	0	0
bcBEDK	1	0
bcBEDM	5	4
bcBEDN	1	0
bcBEDS	1	0
bcBEEX	0	1
bcBEFE	2	1
bcBEHD	2	2
bcBEJG	2	0
bcBEJN	0	0
bcBEMJ	12	1
bcBEOT	1	0
bcBEPJ	0	1
bcBERF	0	1
bcBEUI	0	0
bcBEWN	2	0
bcBEWQ	64	0
bcBEXE	0	1
bcBEXM	0	0
bcBEXU	0	0
bcBFAE	0	1
bcBFBI	0	1
bcBFDF	48	0
bcBFDR	0	0
bcBFFV	0	0
bcBFGY	1	0
bcBFIK	25	0
bcBFLP	3	1
bcBFNQ	99	34
bcBFNR	0	1
bcBFOX	0	1
bcBFPS	1	1
bcBFQS	0	0
bcBFRF	0	0
bcBFRU	0	0
bcBFTA	1	37
bcBFUU	1	0
bcBFUY	0	0
bcBFUZ	1	0
bcBFVJ	4	0
bcBFVN	1	1
bcBFVV	3	0
bcBFWT	1	1
bcBFYI	0	63
bcBFYX	0	1
bcBFZK	1	0
bcBFZL	1	3
bcBFZX	0	0
bcBGBI	1	1
bcBGCU	1	0
bcBGDT	1	0
bcBGFW	1	1
bcBGGY	0	0
bcBGHU	0	1
bcBGJB	10	1
bcBGKD	1	0
bcBGKL	1	0
bcBGKN	5	24
bcBGNT	29	0
bcBGOR	1	0
bcBGPC	0	0
bcBGQA	0	1
bcBGRK	0	0
bcBGSQ	48	0
bcBGWK	0	0
bcBGYT	1	2
bcBGZF	2	1
bcBGZY	7	2
bcBHAF	0	0
bcBHAM	1	1
bcBHAQ	1	2
bcBHAX	1	0
bcBHBZ	0	1
bcBHCS	0	0
bcBHDG	0	0
bcBHEJ	1	0
bcBHEU	1	0
bcBHHF	0	1
bcBHIY	0	0
bcBHKE	0	0
bcBHLI	0	1
bcBHMC	5	0
bcBHMD	0	1
bcBHMK	1	0
bcBHNV	0	9
bcBHOQ	2	1
bcBHOV	2	3
bcBHRH	1	0
bcBHTQ	1	1
bcBHVM	2	35
bcBHWR	0	0
bcBHXZ	0	0
bcBHYU	0	0
bcBHZY	1	0
bcBIAD	0	0
bcBICE	0	0
bcBICQ	0	0
bcBICT	0	1
bcBIEB	1	0
bcBIEK	2	0
bcBIFQ	0	1
bcBIMR	0	0
bcBINW	0	0
bcBIPW	1	0
bcBIQQ	0	0
bcBISH	1	0
bcBIWP	0	0
bcBIXJ	0	1
bcBJAU	3	0
bcBJBB	1	1
bcBJFS	0	0
bcBJGI	3	0
bcBJHG	26	0
bcBJHX	1	0
bcBJIB	4	1
bcBJJP	79	0
bcBJJU	1	0
bcBJOA	2	0
bcBJTX	0	0
bcBJUB	1	1
bcBJVB	0	1
bcBJVO	5	1
bcBJWI	3	1
bcBJWV	0	1
bcBJWZ	38	0
bcBKAH	0	15
bcBKAK	1	0
bcBKBO	4	0
bcBKDP	0	0
bcBKEI	30	121
bcBKFK	0	0
bcBKJH	2	0
bcBKJP	0	0
bcBKJU	2	2
bcBKJV	1	1
bcBKKO	0	1
bcBKOW	0	30
bcBKPP	0	0
bcBKSA	3	0
bcBKTJ	0	0
bcBKUY	0	0
bcBKWR	1	0
bcBKYA	0	1
bcBKYH	4	0
bcBKYP	5	36
bcBKYQ	0	1
bcBKYZ	39	4
bcBKZM	0	0
bcBKZS	14	2
bcBLBV	0	1
bcBLBW	1	2
bcBLCL	0	0
bcBLDI	0	2
bcBLDK	2	0
bcBLDN	1	1
bcBLFM	0	0
bcBLHI	1	0
bcBLHW	1	2
bcBLJO	0	0
bcBLJR	1	2
bcBLKD	0	0
bcBLNJ	1	0
bcBLNS	0	0
bcBLNT	1	0
bcBLOQ	0	1
bcBLQA	1	0
bcBLRU	1	0
bcBLUT	0	0
bcBLWM	0	0
bcBLWT	5	0
bcBLXF	50	0
bcBLXG	64	0
bcBLZT	1	0
bcBMBK	1	0
bcBMBV	0	1
bcBMCB	0	0
bcBMCM	14	0
bcBMCP	28	0
bcBMDL	1	0
bcBMFL	2	0
bcBMHA	0	0
bcBMHU	0	0
bcBMJO	0	0
bcBMLI	2	2
bcBMOB	4	0
bcBMOH	0	0
bcBMPY	0	44
bcBMQM	1	1
bcBMQP	1	1
bcBMQU	1	3
bcBMRK	2	0
bcBMRZ	8	0
bcBMUH	1	1
bcBMYF	0	0
bcBNAL	4	0
bcBNAO	1	0
bcBNCG	1	0
bcBNCS	0	2
bcBNFH	0	0
bcBNFJ	4	3
bcBNFO	1	0
bcBNFR	1	1
bcBNHZ	0	0
bcBNIY	1	27
bcBNJB	0	1
bcBNJW	0	0
bcBNKM	2	0
bcBNKN	2	1
bcBNMG	0	45
bcBNNY	0	0
bcBNPB	7	0
bcBNPQ	0	3
bcBNQE	0	0
bcBNSK	1	0
bcBNSN	0	3
bcBNSU	0	1
bcBNTK	0	0
bcBNUT	1	0
bcBNVD	0	0
bcBNXC	50	0
bcBOAB	1	1
bcBOAC	0	0
bcBOBB	1	2
bcBOBS	1	1
bcBOCK	0	1
bcBODQ	0	1
bcBOEB	0	0
bcBOJE	10	76
bcBOKT	0	1
bcBOMG	48	25
bcBONH	15	0
bcBOOA	2	0
bcBORP	1	1
bcBOUG	0	0
bcBOVL	0	0
bcBOZG	1	1
bcBPDM	0	0
bcBPDQ	1	1
bcBPFD	3	0
bcBPGA	3	3
bcBPGH	0	0
bcBPHV	1	0
bcBPML	3	1
bcBPMU	2	0
bcBPOH	1	0
bcBPPO	1	0
bcBPQB	1	0
bcBPUE	0	0
bcBPWB	1	0
bcBPWK	4	0
bcBPWR	1	0
bcBPZC	0	0
bcBPZH	0	2
bcBQBA	1	0
bcBQCQ	0	0
bcBQCV	0	0
bcBQCW	0	0
bcBQEO	1	1
bcBQFF	1	0
bcBQGL	0	1
bcBQGV	0	0
bcBQHE	0	0
bcBQKU	1	1
bcBQLC	54	17
bcBQQU	2	1
bcBQRM	1	3
bcBQTS	0	0
bcBQUA	0	0
bcBQXT	0	0
bcBQYD	0	0
bcBQZL	0	0
bcBRAB	0	0
bcBRBT	0	0
bcBRDR	0	48
bcBRFC	2	0
bcBRFX	33	53
bcBRHK	1	0
bcBRIX	0	1
bcBRJG	2	0
bcBRKI	0	0
bcBRKS	1	0
bcBRMK	1	0
bcBRRU	32	0
bcBRTJ	1	1
bcBRTM	7	0
bcBRTN	2	1
bcBRTS	0	0
bcBRVJ	0	1
bcBRZM	1	1
bcBSAR	0	0
bcBSBK	62	0
bcBSCU	38	0
bcBSIL	33	0
bcBSIO	0	1
bcBSJC	1	1
bcBSLW	1	93
bcBSLY	1	4
bcBSMG	11	1
bcBSMV	0	0
bcBSOG	1	2
bcBSPM	0	0
bcBSSJ	0	0
bcBSSU	2	64
bcBSTV	0	0
bcBSUL	23	87
bcBSVK	1	3
bcBSXB	5	0
bcBSXL	32	0
bcBSXN	2	0
bcBSXR	0	0
bcBSYQ	1	68
bcBSZA	0	0
bcBSZB	1	1
bcBTAE	1	0
bcBTAN	0	2
bcBTAR	1	2
bcBTBY	4	1
bcBTDA	1	0
bcBTDZ	0	2
bcBTFH	7	0
bcBTJO	0	0
bcBTJR	0	0
bcBTKA	0	0
bcBTKP	1	1
bcBTKR	0	0
bcBTLZ	42	1
bcBTMO	42	1
bcBTNO	2	0
bcBTOJ	0	0
bcBTRS	0	0
bcBTRU	0	0
bcBTTT	1	0
bcBTVB	42	0
bcBTXE	0	0
bcBTYM	9	0
bcBTZS	0	0
bcBTZU	18	0
bcBUAP	4	1
bcBUAY	1	0
bcBUBC	1	1
bcBUBX	29	0
bcBUDG	47	0
bcBUEI	2	1
bcBUFE	0	0
bcBUFG	84	0
bcBUFK	49	0
bcBUGO	0	0
bcBUJU	3	2
bcBUKQ	0	0
bcBUMH	0	0
bcBUPF	1	2
bcBUPL	1	0
bcBUPO	1	0
bcBUPY	0	0
bcBUQB	1	0
bcBUQF	39	0
bcBUSV	1	0
bcBUSY	0	7
bcBUTW	35	51
bcBUVI	1	1
bcBUVK	0	0
bcBUXZ	1	80
bcBVCS	0	0
bcBVDN	0	0
bcBVDO	1	0
bcBVDY	2	0
bcBVEJ	0	0
bcBVFL	0	20
bcBVFP	0	0
bcBVFW	10	0
bcBVGH	0	0
bcBVGY	0	0
bcBVHU	5	59
bcBVKG	0	1
bcBVLH	0	0
bcBVNM	0	1
bcBVNO	0	0
bcBVOV	0	1
bcBVSZ	0	0
bcBVVJ	0	0
bcBVVK	0	1
bcBVVZ	0	0
bcBVYA	0	0
bcBVYP	0	1
bcBVYW	0	0
bcBVYX	0	0
bcBWBR	0	54
bcBWBT	0	0
bcBWDG	0	0
bcBWFR	0	0
bcBWHR	2	0
bcBWHV	1	38
bcBWIU	1	0
bcBWJB	3	0
bcBWLQ	0	0
bcBWNB	9	0
bcBWNG	0	0
bcBWNI	0	0
bcBWNM	0	0
bcBWNP	0	0
bcBWNQ	0	0
bcBWOG	22	51
bcBWOP	0	2
bcBWWT	3	0
bcBWXE	55	42
bcBWXT	5	12
bcBXAB	0	0
bcBXAS	0	0
bcBXCI	2	0
bcBXCQ	24	0
bcBXCX	0	0
bcBXHP	0	0
bcBXIQ	0	3
bcBXQY	1	1
bcBXSB	0	0
bcBXTS	0	0
bcBXUA	0	0
bcBXUC	4	0
bcBXVF	0	0
bcBXWF	0	19
bcBXWX	0	0
bcBXXS	0	1
bcBYAS	2	0
bcBYAU	1	7
bcBYCD	48	1
bcBYDO	2	2
bcBYGE	2	0
bcBYGP	0	0
bcBYGU	2	1
bcBYHF	0	11
bcBYIB	1	0
bcBYJJ	1	1
bcBYJX	0	0
bcBYKI	31	0
bcBYLQ	63	0
bcBYNW	0	0
bcBYNY	0	0
bcBYOO	53	0
bcBYPC	23	0
bcBYPE	3	1
bcBYQH	1	8
bcBYQP	0	0
bcBYRR	41	25
bcBYRS	1	3
bcBYRU	0	15
bcBYTC	0	3
bcBYWN	0	0
bcBYYY	3	0
bcBZDQ	40	0
bcBZDW	1	0
bcBZER	32	27
bcBZJM	1	0
bcBZMU	59	0
bcBZSD	0	0
bcBZSP	1	1
bcBZTP	0	0
bcBZUB	0	0
bcBZUU	0	1
bcBZVJ	1	0
bcBZVV	0	0
bcBZWP	0	0
bcBZXD	1	1
bcBZYM	2	0
bcBZYS	0	0
bcBZYX	0	0
bcCAEL	0	2
bcCAHA	0	0
bcCAHX	1	0
bcCAID	7	10
bcCALV	0	0
bcCALZ	0	0
bcCAQN	1	0
bcCARR	0	0
bcCARX	0	1
bcCAVX	0	0
bcCAWD	0	0
bcCAYT	0	0
bcCBBU	0	0
bcCBEI	0	0
bcCBEN	44	1
bcCBHC	32	0
bcCBKY	2	0
bcCBKZ	0	0
bcCBLQ	0	0
bcCBQD	0	0
bcCBRY	0	1
bcCBTU	32	0
bcCBUE	1	2
bcCBUF	0	1
bcCBVA	1	0
bcCBVG	0	0
bcCBWG	0	0
bcCBWS	1	1
bcCBZR	95	0
bcCBZS	3	0
bcCCAC	2	0
bcCCBE	1	0
bcCCCK	0	0
bcCCFC	0	0
bcCCFJ	0	0
bcCCGB	0	0
bcCCGC	1	0
bcCCHQ	0	1
bcCCIU	0	0
bcCCKV	0	0
bcCCMH	0	0
bcCCMX	35	0
bcCCOD	0	0
bcCCOL	0	0
bcCCOM	0	0
bcCCPU	0	0
bcCCPW	1	2
bcCCRC	0	1
bcCCSP	1	3
bcCCXC	0	0
bcCDBS	0	0
bcCDBY	0	0
bcCDDW	0	0
bcCDEN	0	0
bcCDEZ	0	1
bcCDFH	0	41
bcCDIO	0	0
bcCDIW	1	0
bcCDKP	13	15
bcCDLX	0	20
bcCDLZ	0	0
bcCDNF	1	0
bcCDOF	73	0
bcCDQC	0	0
bcCDSA	2	0
bcCDTG	0	1
bcCDVF	0	0
bcCECY	0	0
bcCEDJ	0	0
bcCEHO	2	0
bcCEKN	0	0
bcCEMI	1	0
bcCEMM	1	0
bcCEOE	0	0
bcCEOL	0	0
bcCEUX	0	0
bcCEWM	1	0
bcCEXB	0	0
bcCEZO	0	0
bcCEZV	0	0
bcCFAD	1	0
bcCFBI	0	45
bcCFCM	3	0
bcCFCS	0	0
bcCFJZ	3	2
bcCFKI	2	0
bcCFKL	0	0
bcCFND	1	0
bcCFNJ	11	0
bcCFOH	0	0
bcCFOX	30	0
bcCFPM	0	0
bcCFPX	0	0
bcCFQD	0	2
bcCFQO	1	0
bcCFRT	0	0
bcCFSL	1	0
bcCFTQ	0	1
bcCFWS	0	1
bcCFYT	2	0
bcCFZD	1	0
bcCFZI	0	0
bcCFZV	0	7
bcCGAI	1	0
bcCGDV	2	0
bcCGES	1	0
bcCGIM	2	45
bcCGJN	23	0
bcCGLK	0	3
bcCGOF	0	0
bcCGOS	0	0
bcCGOZ	0	0
bcCGPL	0	0
bcCGRH	1	0
bcCGRP	0	48
bcCGTC	0	0
bcCGTI	0	0
bcCGTM	0	0
bcCGTR	0	2
bcCGTW	0	48
bcCGUS	0	0
bcCGWJ	11	0
bcCGYO	0	0
bcCHBE	0	0
bcCHBJ	35	0
bcCHHO	6	0
bcCHKL	50	0
bcCHKS	29	0
bcCHKY	1	0
bcCHRK	0	0
bcCHSA	0	0
bcCHSM	0	0
bcCHSY	0	0
bcCHVQ	15	0
bcCIAO	44	44
bcCIDF	0	1
bcCIGD	0	1
bcCIGQ	1	0
bcCIHR	0	0
bcCIJE	15	0
bcCIMD	0	0
bcCIMR	47	0
bcCISC	8	0
bcCITY	0	0
bcCIZF	0	0
bcCJHC	0	0
bcCJJC	0	0
bcCJJF	0	0
bcCJJP	1	0
bcCJJR	2	1
bcCJKJ	2	7
bcCJNR	0	0
bcCJOJ	0	0
bcCJSB	0	0
bcCJSE	0	0
bcCJTM	0	0
bcCJYI	1	0
bcCJYL	0	0
bcCJZH	82	38
bcCKCA	2	0
bcCKDY	4	0
bcCKEH	0	15
bcCKFB	38	2
bcCKIN	43	60
bcCKJK	2	0
bcCKNC	0	0
bcCKPH	3	43
bcCKPL	0	1
bcCKPX	1	21
bcCKRE	0	0
bcCKSA	12	0
bcCKSM	0	0
bcCKUX	0	0
bcCKWU	0	0
bcCKYJ	1	0
bcCLAL	0	0
bcCLBR	2	1
bcCLBZ	1	1
bcCLCA	2	0
bcCLCF	0	0
bcCLCM	1	0
bcCLDH	1	0
bcCLEO	1	0
bcCLHL	0	0
bcCLLH	0	0
bcCLLN	0	0
bcCLLX	1	0
bcCLMJ	0	0
bcCLNB	3	0
bcCLOY	2	0
